burst_id,time_range,topic_label,topic_confidence,dominant_emotion,emotion_confidence,content_mix,content_confidence,evidence_terms,evidence_comments,representative_comments,representative_comments_short
B-1,08:10-09:00,"Draft, tactics, and character/player choice discussion",0.75,excitement,0.377,player_or_team_evaluation 35% / tactical_or_rule_discussion 28% / meme_or_slang 15% / result_or_record_recap 13% / controversy_or_argument 6%,0.352,游戏结束(19); 加里奥(12); 前方高能(12); 英雄登场(12); 正义巨像(8); 吓哭了(7); 要来了(6); 吓哭了吓哭了(6),kt放加里奥真感觉在开玩笑 ban什么德莱文啊 什么理解 | 吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了 | 去年BLG T1决胜第五局，一样的位置一样的加里奥,kt放加里奥真感觉在开玩笑 ban什么德莱文啊 什么理解 | 吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了 | 去年BLG T1决胜第五局，一样的位置一样的加里奥 | kt不抢加里奥是因为觉得自己团队协同性不如t1，不敢玩 | bdd吓哭了。。。kt全队都吓哭了,kt放加里奥真感觉在开玩笑 ban什么德莱文啊 什么理解 | 吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了吓哭了 | 去年BLG T1决胜第五局，一样的位置一样的加里奥 | kt不抢加里奥是因为觉得自己团队协同性不如t1，…
B-2,12:05-12:40,"Draft, tactics, and character/player choice discussion",0.75,neutral_analysis,0.366,tactical_or_rule_discussion 35% / gameplay_reaction 27% / player_or_team_evaluation 23% / meme_or_slang 7% / result_or_record_recap 7%,0.348,BDD(9); 责任(8); 真男人(8); t1(7); bdd(7); T1(5); 伟大(4); 争者留其名(4),如果命中注定这局会输，那么BDD选择站着死，普成真男人 | 你以为加里奥容易玩？如果不是t1，其他队玩加里奥前期早崩了，不会给你后期团战的机会 | BDD shu le bi s输了比赛 赢了尊重 好样的,如果命中注定这局会输，那么BDD选择站着死，普成真男人 | 你以为加里奥容易玩？如果不是t1，其他队玩加里奥前期早崩了，不会给你后期团战的机会 | BDD shu le bi s输了比赛 赢了尊重 好样的 | 小炮慢性死亡，只有小火龙能给队伍赢的希望，所以bdd选下了小火龙 | 将压力与胜负一肩抗起，背负所有，BDD你这家伙,如果命中注定这局会输，那么BDD选择站着死，普成真男人 | 你以为加里奥容易玩？如果不是t1，其他队玩加里奥前期早崩了，不会给你后期团战的机会 | BDD shu le bi s输了比赛 赢了尊重 好样的 | 小炮慢性死亡，只有小火龙能给…
B-3,15:50-18:05,Viewer audio-removal spam and chat-order dispute,0.9,viewer_behavior,0.53,spam_or_chat_behavior 53% / player_or_team_evaluation 9% / meme_or_slang 9% / controversy_or_argument 9% / tactical_or_rule_discussion 8%,0.535,去人生(8); 去人聲(6); oner(5); o神(3); 神人弹幕(2); 去人生没声(2); 去人机(2); 去人声去人声(2),"鸡蛋后面躺赢拿了几个人头把Oner的FMVP抢了 | 青钢影没换掉掘墓血潘森怎么抓？？青钢影补刀都没被压已经玩得很好了 | 这个反向闪e失误李哥上一年也在决赛第五把干了,笑死","鸡蛋后面躺赢拿了几个人头把Oner的FMVP抢了 | 青钢影没换掉掘墓血潘森怎么抓？？青钢影补刀都没被压已经玩得很好了 | 这个反向闪e失误李哥上一年也在决赛第五把干了,笑死 | 但说实话，多兰这把青钢影玩的并不好，领先那么多换血也只能五五开，只能说还算听话让干嘛就干嘛 | 还需要证明自己吗？有的人终其生涯都拿不到一冠","鸡蛋后面躺赢拿了几个人头把Oner的FMVP抢了 | 青钢影没换掉掘墓血潘森怎么抓？？青钢影补刀都没被压已经玩得很好了 | 这个反向闪e失误李哥上一年也在决赛第五把干了,笑死 | 但说实话，多兰这把青钢影玩的并不好，领先那么多换血也只能五…"
B-4,20:25-20:40,Gameplay event reaction,0.65,mockery,0.412,gameplay_reaction 20% / player_or_team_evaluation 20% / meme_or_slang 20% / result_or_record_recap 20% / tactical_or_rule_discussion 10%,0.2,无视野预判(4); 兵升(2); 连啃两个饼干(2); 炸弹人(2); 太天命了(2); 连点两块饼干(2); 天命所归啊(2); 有点意思(2),日女 这把应该也知道炸弹人马上升 6 了，再退一点点回城就不会被炸死 | 小K看见最后一下没死，连啃两个饼干 | 我看到这就觉得冠军有了。太天命了,日女 这把应该也知道炸弹人马上升 6 了，再退一点点回城就不会被炸死 | 小K看见最后一下没死，连啃两个饼干 | 我看到这就觉得冠军有了。太天命了 | 青钢影本来就是带头进场给加里奥搭桥把团战开起来，后面团战死几次是正常的吧 | 不吹不黑doran是后面是送了，不送碾压局的，但不可否认这一把前期把掘墓打爆了，后面掘墓一点声音都没有,日女 这把应该也知道炸弹人马上升 6 了，再退一点点回城就不会被炸死 | 小K看见最后一下没死，连啃两个饼干 | 我看到这就觉得冠军有了。太天命了 | 青钢影本来就是带头进场给加里奥搭桥把团战开起来，后面团战死几次是正常的吧 | 不吹不黑…
B-5,27:00-27:20,Viewer audio-removal spam and chat-order dispute,0.9,tension,0.25,gameplay_reaction 36% / player_or_team_evaluation 27% / spam_or_chat_behavior 18% / result_or_record_recap 9% / controversy_or_argument 9%,0.364,这俩打先手(2); 管吸血(2); 嗷嗷叫(2); 云也有个限度(2); 此时(2); 去人声(2); 点运气而已(2); 他沒緊張(2),那多兰猥琐你让谁去开？李哥还是oner？这俩打先手？又或者是你要等k开？ | 有些人就搁那事后诸葛亮，换你上吗又怂的要死被打的嗷嗷叫。 | 此时，拿下一个人头的炸弹人对位经济开始变负数,那多兰猥琐你让谁去开？李哥还是oner？这俩打先手？又或者是你要等k开？ | 有些人就搁那事后诸葛亮，换你上吗又怂的要死被打的嗷嗷叫。 | 此时，拿下一个人头的炸弹人对位经济开始变负数 | 整个S赛最后才昏头？云也有个限度 | 說多蘭壓力大的去聽他復盤吧 他沒緊張 純粹沒玩好 自己都承認了 別逮著不放了..,那多兰猥琐你让谁去开？李哥还是oner？这俩打先手？又或者是你要等k开？ | 有些人就搁那事后诸葛亮，换你上吗又怂的要死被打的嗷嗷叫。 | 此时，拿下一个人头的炸弹人对位经济开始变负数 | 整个S赛最后才昏头？云也有个限度 | 說多蘭壓力…
B-6,40:00-40:05,"Draft, tactics, and character/player choice discussion",0.75,anger_or_dispute,0.478,gameplay_reaction 48% / controversy_or_argument 28% / player_or_team_evaluation 8% / spam_or_chat_behavior 6% / result_or_record_recap 6%,0.48,多兰(6); 潘森太猛了(2); 哈哈哈哈(2); 这把没多兰(2); 乐趣少一半(2); 这里不该上的(2); 多兰不该越塔(2); 龙带过去的(2),哈哈哈哈，这把没多兰，乐趣少一半 | 这里多兰也是没办法的事情，本来是在野区R小火龙的，但是小火龙E刚刚好给多兰带到塔下了 | 这里不该上的，潘森切炸弹人去了，多兰不该越塔,哈哈哈哈，这把没多兰，乐趣少一半 | 这里多兰也是没办法的事情，本来是在野区R小火龙的，但是小火龙E刚刚好给多兰带到塔下了 | 这里不该上的，潘森切炸弹人去了，多兰不该越塔 | 这里小火龙也只是运气好啊，差一丝血有什么好说多兰的 | 这里小火龙e不一定会带多兰过去，只能说实际情况问题，多兰没视野扫描过去的,哈哈哈哈，这把没多兰，乐趣少一半 | 这里多兰也是没办法的事情，本来是在野区R小火龙的，但是小火龙E刚刚好给多兰带到塔下了 | 这里不该上的，潘森切炸弹人去了，多兰不该越塔 | 这里小火龙也只是运气好啊，差一丝血有什么好说多兰的 | 这里…
B-7,41:40-42:15,Player and team performance evaluation,0.7,anger_or_dispute,0.283,player_or_team_evaluation 31% / gameplay_reaction 20% / controversy_or_argument 19% / spam_or_chat_behavior 16% / meme_or_slang 8%,0.309,弹幕时间(38); keria(6); 复活甲呢(4); 姑妈完美大招(4); guma(4); Gumayusi(3); t1(3); 这里是虎牢关(2),skt的玫瑰梗来自于K队 和gumayusi有一毛钱关系吗？ | 能别硬洗多兰吗 如果真是想卖为啥不提前出复活甲呢？他这套出装就是想c想秀 只是自己菜 打野养了c不了 | 多兰吃一堆技能 不然guma也没那么好的输出环境,skt的玫瑰梗来自于K队 和gumayusi有一毛钱关系吗？ | 能别硬洗多兰吗 如果真是想卖为啥不提前出复活甲呢？他这套出装就是想c想秀 只是自己菜 打野养了c不了 | 多兰吃一堆技能 不然guma也没那么好的输出环境 | 下个游戏吧 只当诱饵为啥不出血手 复活甲呢？出死舞明显就是想c 想秀的 | keria关键先生，r三个全吃女枪满大，隔墙e小火龙让faker进场,skt的玫瑰梗来自于K队 和gumayusi有一毛钱关系吗？ | 能别硬洗多兰吗 如果真是想卖为啥不提前出复活甲呢？他这套出装就是想c想秀 只是自己菜 打野养了c不了 | 多兰吃一堆技能 不然guma也没那么好的输出环境 | 下个游戏吧 …
B-8,45:20-45:45,Player decision recap and mockery around a key engage,0.8,mockery,0.547,controversy_or_argument 27% / player_or_team_evaluation 25% / meme_or_slang 23% / gameplay_reaction 18% / result_or_record_recap 5%,0.268,多兰(20); 证明给我看(12); faker(7); 兰子(6); 哈哈哈哈(5); 老李(4); Faker(3); oner(3),老李：上路找机会 兰子只听了个上字哈哈哈哈哈 | 多兰:我遇到了很多天才中单，他们都说能带我赢，Faker如果你有梦想，请证明给我看 | 多兰：老李，这就是你的极限了吗？我不信！！！,老李：上路找机会 兰子只听了个上字哈哈哈哈哈 | 多兰:我遇到了很多天才中单，他们都说能带我赢，Faker如果你有梦想，请证明给我看 | 多兰：老李，这就是你的极限了吗？我不信！！！ | 兰子第一次世界冠军太紧张了，让打谁打谁了哈哈哈哈 | 这里语言是faker让他去找机会，但是多兰太紧张了。然后faker让他不要惭愧，赶紧深呼吸放松。,老李：上路找机会 兰子只听了个上字哈哈哈哈哈 | 多兰:我遇到了很多天才中单，他们都说能带我赢，Faker如果你有梦想，请证明给我看 | 多兰：老李，这就是你的极限了吗？我不信！！！ | 兰子第一次世界冠军太紧张了，让打谁打谁了哈哈哈哈 …
B-9,49:15-49:20,"Championship, record, and post-match celebration",0.85,mockery,0.429,gameplay_reaction 31% / player_or_team_evaluation 31% / meme_or_slang 15% / tactical_or_rule_discussion 8% / result_or_record_recap 8%,0.308,补个妆(4); 准备夺冠了(2); 其实还是没用(2); 先补个妆(2); 小K(2); 来你说(2); 要指挥的(2); 他有唇炎(2),小K天秤座的哦。天秤座都很在意形象的哈哈哈。 | 。。。。小k。。。。。你这就叫忙里偷闲吧？ | 小k补个妆哈哈哈哈哈哈哈,小K天秤座的哦。天秤座都很在意形象的哈哈哈。 | 。。。。小k。。。。。你这就叫忙里偷闲吧？ | 小k补个妆哈哈哈哈哈哈哈 | 注意小k补妆呢，准备夺冠了 | 下面有请观赏多兰决胜战的表演：全程除了E了掘墓一下什么都没做,小K天秤座的哦。天秤座都很在意形象的哈哈哈。 | 。。。。小k。。。。。你这就叫忙里偷闲吧？ | 小k补个妆哈哈哈哈哈哈哈 | 注意小k补妆呢，准备夺冠了 | 下面有请观赏多兰决胜战的表演：全程除了E了掘墓一下什么都没做
B-10,49:45-50:50,"Championship, record, and post-match celebration",0.85,excitement,0.56,player_or_team_evaluation 39% / result_or_record_recap 38% / gameplay_reaction 10% / meme_or_slang 8% / controversy_or_argument 3%,0.394,六冠(97); faker(28); 多兰(25); 助攻(20); 1000助攻(18); Team(18); T1(15); 恭喜(15),Faker这个时候语音里还讲了句给我助攻哈哈哈哈哈哈 | 这里多兰跑巨快哈哈哈哈哈已经准备去捧杯，被guma喊回来了 | 多兰爆笑操作，E一下掘墓，守着金身K一个头，然后就夺冠了。,Faker这个时候语音里还讲了句给我助攻哈哈哈哈哈哈 | 这里多兰跑巨快哈哈哈哈哈已经准备去捧杯，被guma喊回来了 | 多兰爆笑操作，E一下掘墓，守着金身K一个头，然后就夺冠了。 | 全球总决赛里1000助攻。。前无古人，后面也不一定有来者了 | faker六冠，然后同时出现四位三连冠,Faker这个时候语音里还讲了句给我助攻哈哈哈哈哈哈 | 这里多兰跑巨快哈哈哈哈哈已经准备去捧杯，被guma喊回来了 | 多兰爆笑操作，E一下掘墓，守着金身K一个头，然后就夺冠了。 | 全球总决赛里1000助攻。。前无古人，后面也不一定有…
