burst_id,time_range,start_seconds,end_seconds,peak_seconds,peak_density_5s,duration_seconds,baseline_multiplier,burst_kind,topic_label,dominant_emotion,content_mix,filtered_context_count,raw_context_count
B-1,08:10-09:00,490.0,540.0,510.0,1477,50.0,135.404,gameplay_peak,"Draft, tactics, and character/player choice discussion",excitement,player_or_team_evaluation 35% / tactical_or_rule_discussion 28% / meme_or_slang 15% / result_or_record_recap 13% / controversy_or_argument 6%,176,2528
B-2,12:05-12:40,725.0,760.0,725.0,18,35.0,1.65,result_or_celebration_peak,"Draft, tactics, and character/player choice discussion",neutral_analysis,tactical_or_rule_discussion 35% / gameplay_reaction 27% / player_or_team_evaluation 23% / meme_or_slang 7% / result_or_record_recap 7%,121,121
B-3,15:50-18:05,950.0,1085.0,965.0,352,135.0,32.27,viewer_behavior_peak,Viewer audio-removal spam and chat-order dispute,viewer_behavior,spam_or_chat_behavior 53% / player_or_team_evaluation 9% / meme_or_slang 9% / controversy_or_argument 9% / tactical_or_rule_discussion 8%,97,1921
B-4,20:25-20:40,1225.0,1240.0,1225.0,16,15.0,1.467,result_or_celebration_peak,Gameplay event reaction,mockery,gameplay_reaction 20% / player_or_team_evaluation 20% / meme_or_slang 20% / result_or_record_recap 20% / tactical_or_rule_discussion 10%,50,54
B-5,27:00-27:20,1620.0,1640.0,1620.0,12,20.0,1.1,viewer_behavior_peak,Viewer audio-removal spam and chat-order dispute,tension,gameplay_reaction 36% / player_or_team_evaluation 27% / spam_or_chat_behavior 18% / result_or_record_recap 9% / controversy_or_argument 9%,17,75
B-6,40:00-40:05,2400.0,2405.0,2400.0,15,5.0,1.375,gameplay_peak,"Draft, tactics, and character/player choice discussion",anger_or_dispute,gameplay_reaction 48% / controversy_or_argument 28% / player_or_team_evaluation 8% / spam_or_chat_behavior 6% / result_or_record_recap 6%,47,47
B-7,41:40-42:15,2500.0,2535.0,2505.0,20,35.0,1.833,gameplay_peak,Player and team performance evaluation,anger_or_dispute,player_or_team_evaluation 31% / gameplay_reaction 20% / controversy_or_argument 19% / spam_or_chat_behavior 16% / meme_or_slang 8%,149,152
B-8,45:20-45:45,2720.0,2745.0,2725.0,20,25.0,1.833,uncategorized_peak,Player decision recap and mockery around a key engage,mockery,controversy_or_argument 27% / player_or_team_evaluation 25% / meme_or_slang 23% / gameplay_reaction 18% / result_or_record_recap 5%,114,119
B-9,49:15-49:20,2955.0,2960.0,2955.0,12,5.0,1.1,result_or_celebration_peak,"Championship, record, and post-match celebration",mockery,gameplay_reaction 31% / player_or_team_evaluation 31% / meme_or_slang 15% / tactical_or_rule_discussion 8% / result_or_record_recap 8%,37,37
B-10,49:45-50:50,2985.0,3050.0,3000.0,27,65.0,2.475,result_or_celebration_peak,"Championship, record, and post-match celebration",excitement,player_or_team_evaluation 39% / result_or_record_recap 38% / gameplay_reaction 10% / meme_or_slang 8% / controversy_or_argument 3%,266,302
